Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000003211|ENSDARG00000014324,1,22,20,23,0,1,1,24,4
ENSDART00000003978|ENSDARG00000012932,2,23,18,22,1,0,1,23,5
ENSDART00000004504|ENSDARG00000016153,1,23,18,23,0,0,0,23,5
ENSDART00000007744|ENSDARG00000005463,1,23,19,23,0,0,0,23,4
ENSDART00000008854|ENSDARG00000021343,1,23,18,23,0,0,0,23,5
ENSDART00000011809|ENSDARG00000019581,1,22,19,23,0,1,1,24,5
ENSDART00000013563|ENSDARG00000011298,2,23,18,22,1,0,1,23,5
ENSDART00000018792|ENSDARG00000011555,1,23,18,23,0,0,0,23,5
ENSDART00000018818|ENSDARG00000021398,1,23,18,23,0,0,0,23,5
ENSDART00000021340|ENSDARG00000013438,3,23,18,21,2,0,2,23,5
ENSDART00000022139|ENSDARG00000093844,1,23,18,23,0,0,0,23,5
ENSDART00000023926|ENSDARG00000002549,1,23,19,24,0,0,0,24,5
ENSDART00000024225|ENSDARG00000015854,1,23,18,23,0,0,0,23,5
ENSDART00000027466|ENSDARG00000017431,1,23,21,26,0,0,0,26,5
ENSDART00000029599|ENSDARG00000022378,1,23,19,24,0,0,0,24,5
ENSDART00000029708|ENSDARG00000026236,1,22,18,22,0,1,1,23,5
ENSDART00000039877|ENSDARG00000032627,1,23,18,23,0,0,0,23,5
ENSDART00000039985|ENSDARG00000021392,1,23,18,23,0,0,0,23,5
ENSDART00000044986|ENSDARG00000030547,1,23,19,24,0,0,0,24,5
ENSDART00000045374|ENSDARG00000036096,1,23,19,24,0,0,0,24,5
ENSDART00000045583|ENSDARG00000007198,1,23,20,25,0,0,0,25,5
ENSDART00000046670|ENSDARG00000013776,3,23,18,21,2,0,2,23,5
ENSDART00000052656|ENSDARG00000036252,2,23,18,22,1,0,1,23,5
ENSDART00000059311|ENSDARG00000040527,1,23,19,24,0,0,0,24,5
ENSDART00000060731|ENSDARG00000041429,1,22,20,23,0,1,1,24,4
ENSDART00000063492|ENSDARG00000043250,1,23,19,24,0,0,0,24,5
ENSDART00000065659|ENSDARG00000044684,1,23,18,23,0,0,0,23,5
ENSDART00000080825|ENSDARG00000091348,1,23,18,23,0,0,0,23,5
ENSDART00000081038|ENSDARG00000058212,1,23,19,24,0,0,0,24,5
ENSDART00000082517|ENSDARG00000059404,1,22,18,22,0,1,1,23,5
ENSDART00000084011|ENSDARG00000059978,1,23,18,23,0,0,0,23,5
ENSDART00000085438|ENSDARG00000060551,2,23,18,22,1,0,1,23,5
ENSDART00000091780|ENSDARG00000063050,1,23,18,23,0,0,0,23,5
ENSDART00000092112|ENSDARG00000063219,1,21,18,21,0,2,2,23,5
ENSDART00000092138|ENSDARG00000063219,1,21,18,21,0,2,2,23,5
ENSDART00000098292|ENSDARG00000068103,1,23,18,23,0,0,0,23,5
ENSDART00000098545|ENSDARG00000068227,2,23,18,22,1,0,1,23,5
