Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000000382|ENSDARG00000000370,1,22,18,22,0,1,1,23,5
ENSDART00000002055|ENSDARG00000078760,1,23,19,24,0,0,0,24,5
ENSDART00000002465|ENSDARG00000018022,1,23,19,24,0,0,0,24,5
ENSDART00000003694|ENSDARG00000017841,1,23,23,23,0,0,0,23,0
ENSDART00000004686|ENSDARG00000003022,1,23,18,23,0,0,0,23,5
ENSDART00000009081|ENSDARG00000019113,1,23,18,23,0,0,0,23,5
ENSDART00000011573|ENSDARG00000012395,1,23,18,23,0,0,0,23,5
ENSDART00000012104|ENSDARG00000010791,1,23,18,23,0,0,0,23,5
ENSDART00000013861|ENSDARG00000010407,2,23,18,22,1,0,1,23,5
ENSDART00000014897|ENSDARG00000045789,2,23,19,23,1,0,1,24,5
ENSDART00000015928|ENSDARG00000008119,1,22,18,22,0,1,1,23,5
ENSDART00000016502|ENSDARG00000015918,2,22,18,21,1,1,2,23,5
ENSDART00000025046|ENSDARG00000003486,1,23,18,23,0,0,0,23,5
ENSDART00000026430|ENSDARG00000002204,1,23,18,23,0,0,0,23,5
ENSDART00000026701|ENSDARG00000015610,1,22,20,24,0,1,1,25,5
ENSDART00000026800|ENSDARG00000006862,2,23,18,22,1,0,1,23,5
ENSDART00000041811|ENSDARG00000017220,1,23,19,24,0,0,0,24,5
ENSDART00000043429|ENSDARG00000028625,2,23,18,22,1,0,1,23,5
ENSDART00000043774|ENSDARG00000024124,1,20,18,20,0,3,3,23,5
ENSDART00000048095|ENSDARG00000034060,1,23,18,23,0,0,0,23,5
ENSDART00000048110|ENSDARG00000031983,1,22,18,22,0,1,1,23,5
ENSDART00000048707|ENSDARG00000045789,2,23,19,23,1,0,1,24,5
ENSDART00000051556|ENSDARG00000079009,2,23,18,22,1,0,1,23,5
ENSDART00000054084|ENSDARG00000037191,1,23,18,23,0,0,0,23,5
ENSDART00000055139|ENSDARG00000037845,1,23,18,23,0,0,0,23,5
ENSDART00000056667|ENSDARG00000038802,1,23,18,23,0,0,0,23,5
ENSDART00000056921|ENSDARG00000005458,2,23,18,22,1,0,1,23,5
ENSDART00000057268|ENSDARG00000039196,3,23,18,21,2,0,2,23,5
ENSDART00000057434|ENSDARG00000099235,1,23,20,24,0,0,0,24,4
ENSDART00000057642|ENSDARG00000039456,1,23,19,24,0,0,0,24,5
ENSDART00000058311|ENSDARG00000002020,1,23,19,24,0,0,0,24,5
ENSDART00000058777|ENSDARG00000040180,1,23,20,25,0,0,0,25,5
ENSDART00000060519|ENSDARG00000004176,1,21,18,21,0,2,2,23,5
ENSDART00000060888|ENSDARG00000041533,1,23,19,24,0,0,0,24,5
ENSDART00000062724|ENSDARG00000054250,1,23,18,23,0,0,0,23,5
ENSDART00000065125|ENSDARG00000058231,1,23,18,23,0,0,0,23,5
ENSDART00000067073|ENSDARG00000045612,1,23,18,23,0,0,0,23,5
ENSDART00000067272|ENSDARG00000070015,1,23,18,23,0,0,0,23,5
ENSDART00000073502|ENSDARG00000051816,1,23,18,23,0,0,0,23,5
ENSDART00000074068|ENSDARG00000003270,1,23,19,23,0,0,0,23,4
ENSDART00000074330|ENSDARG00000052471,1,21,18,21,0,2,2,23,5
ENSDART00000077180|ENSDARG00000054903,1,22,18,22,0,1,1,23,5
ENSDART00000077478|ENSDARG00000055154,1,23,18,23,0,0,0,23,5
ENSDART00000077938|ENSDARG00000055561,1,23,18,23,0,0,0,23,5
ENSDART00000081561|ENSDARG00000058660,1,23,18,23,0,0,0,23,5
ENSDART00000084416|ENSDARG00000060149,1,23,18,23,0,0,0,23,5
ENSDART00000084610|ENSDARG00000060215,3,22,19,21,2,1,3,24,5
ENSDART00000085701|ENSDARG00000060646,1,23,19,24,0,0,0,24,5
ENSDART00000087964|ENSDARG00000061590,1,22,19,23,0,1,1,24,5
ENSDART00000090534|ENSDARG00000062518,1,23,18,23,0,0,0,23,5
ENSDART00000090760|ENSDARG00000062661,1,23,18,23,0,0,0,23,5
ENSDART00000091615|ENSDARG00000062976,1,23,18,23,0,0,0,23,5
ENSDART00000097316|ENSDARG00000076075,1,22,20,23,0,1,1,24,4
ENSDART00000103388|ENSDARG00000070709,1,23,18,23,0,0,0,23,5
ENSDART00000103395|ENSDARG00000030270,1,23,18,23,0,0,0,23,5
ENSDART00000108629|ENSDARG00000078778,1,21,18,21,0,2,2,23,5
ENSDART00000110535|ENSDARG00000074223,2,22,18,21,1,1,2,23,5
ENSDART00000110716|ENSDARG00000015610,1,22,20,24,0,1,1,25,5
ENSDART00000110794|ENSDARG00000077948,1,23,19,24,0,0,0,24,5
ENSDART00000112256|ENSDARG00000075542,1,23,19,24,0,0,0,24,5
ENSDART00000112287|ENSDARG00000078803,2,23,18,22,1,0,1,23,5
ENSDART00000113185|ENSDARG00000078805,1,23,18,23,0,0,0,23,5
ENSDART00000114486|ENSDARG00000077011,2,23,19,23,1,0,1,24,5
ENSDART00000114514|ENSDARG00000073902,1,23,20,24,0,0,0,24,4
ENSDART00000116114|ENSDARG00000080675,1,23,18,23,0,0,0,23,5
ENSDART00000117223|ENSDARG00000083129,2,23,18,22,1,0,1,23,5
ENSDART00000122665|ENSDARG00000054903,1,22,18,22,0,1,1,23,5
ENSDART00000124342|ENSDARG00000052010,1,23,18,23,0,0,0,23,5
ENSDART00000126339|ENSDARG00000010791,1,23,18,23,0,0,0,23,5
ENSDART00000126414|ENSDARG00000042840,1,23,19,24,0,0,0,24,5
ENSDART00000126444|ENSDARG00000114451,1,23,18,23,0,0,0,23,5
ENSDART00000126455|ENSDARG00000003270,1,23,19,23,0,0,0,23,4
ENSDART00000126534|ENSDARG00000097307,1,23,18,23,0,0,0,23,5
ENSDART00000127444|ENSDARG00000052471,1,21,18,21,0,2,2,23,5
ENSDART00000127454|ENSDARG00000054903,1,22,18,22,0,1,1,23,5
ENSDART00000128561|ENSDARG00000087457,1,23,19,24,0,0,0,24,5
ENSDART00000129222|ENSDARG00000034117,1,23,18,23,0,0,0,23,5
ENSDART00000130599|ENSDARG00000008119,1,22,18,22,0,1,1,23,5
ENSDART00000131219|ENSDARG00000008119,1,22,18,22,0,1,1,23,5
ENSDART00000131300|ENSDARG00000000935,1,23,19,23,0,0,0,23,4
ENSDART00000131513|ENSDARG00000058660,1,23,18,23,0,0,0,23,5
