Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000009888|ENSDARG00000018105,1,22,18,22,0,1,1,23,5
ENSDART00000013690|ENSDARG00000011201,1,23,19,23,0,0,0,23,4
ENSDART00000014210|ENSDARG00000016460,1,23,18,23,0,0,0,23,5
ENSDART00000019765|ENSDARG00000020735,1,23,21,26,0,0,0,26,5
ENSDART00000025962|ENSDARG00000011934,1,23,18,23,0,0,0,23,5
ENSDART00000027811|ENSDARG00000009280,1,23,18,23,0,0,0,23,5
ENSDART00000029599|ENSDARG00000022378,1,22,19,23,0,1,1,24,5
ENSDART00000029646|ENSDARG00000021864,1,22,19,22,0,1,1,23,4
ENSDART00000034550|ENSDARG00000023920,1,23,19,24,0,0,0,24,5
ENSDART00000040627|ENSDARG00000030490,1,23,21,26,0,0,0,26,5
ENSDART00000043823|ENSDARG00000040027,2,23,18,22,1,0,1,23,5
ENSDART00000046678|ENSDARG00000018476,1,23,18,23,0,0,0,23,5
ENSDART00000048828|ENSDARG00000001870,3,23,19,21,2,0,2,23,4
ENSDART00000050729|ENSDARG00000034957,2,23,19,23,1,0,1,24,5
ENSDART00000054664|ENSDARG00000037539,1,22,18,22,0,1,1,23,5
ENSDART00000055443|ENSDARG00000038040,1,23,20,25,0,0,0,25,5
ENSDART00000060444|ENSDARG00000041232,1,23,18,23,0,0,0,23,5
ENSDART00000073462|ENSDARG00000051783,1,23,23,23,0,0,0,23,0
ENSDART00000077805|ENSDARG00000070173,1,22,18,22,0,1,1,23,5
ENSDART00000078647|ENSDARG00000056203,1,22,18,22,0,1,1,23,5
ENSDART00000099821|ENSDARG00000077673,1,23,18,23,0,0,0,23,5
ENSDART00000101969|ENSDARG00000053215,1,22,18,22,0,1,1,23,5
ENSDART00000102086|ENSDARG00000069888,1,20,19,21,0,3,3,24,5
ENSDART00000102782|ENSDARG00000070173,1,22,18,22,0,1,1,23,5
ENSDART00000104718|ENSDARG00000071009,1,23,20,25,0,0,0,25,5
ENSDART00000105477|ENSDARG00000071374,1,23,18,23,0,0,0,23,5
ENSDART00000105808|ENSDARG00000000212,1,23,18,23,0,0,0,23,5
ENSDART00000111842|ENSDARG00000074319,1,23,19,23,0,0,0,23,4
ENSDART00000122134|ENSDARG00000060723,1,23,20,25,0,0,0,25,5
ENSDART00000123205|ENSDARG00000001870,3,23,19,21,2,0,2,23,4
ENSDART00000125728|ENSDARG00000086418,1,23,19,24,0,0,0,24,5
ENSDART00000126655|ENSDARG00000037503,1,23,18,23,0,0,0,23,5
ENSDART00000128105|ENSDARG00000086256,1,23,19,24,0,0,0,24,5
ENSDART00000132667|ENSDARG00000093024,1,23,19,24,0,0,0,24,5
ENSDART00000133459|ENSDARG00000095528,1,23,18,23,0,0,0,23,5
ENSDART00000138646|ENSDARG00000071618,1,23,19,24,0,0,0,24,5
ENSDART00000139035|ENSDARG00000095308,1,23,18,23,0,0,0,23,5
ENSDART00000141202|ENSDARG00000093532,1,23,19,24,0,0,0,24,5
ENSDART00000141801|ENSDARG00000040027,2,23,18,22,1,0,1,23,5
ENSDART00000144492|ENSDARG00000087532,1,23,19,24,0,0,0,24,5
ENSDART00000144941|ENSDARG00000095274,1,23,19,24,0,0,0,24,5
ENSDART00000145123|ENSDARG00000022378,1,22,19,23,0,1,1,24,5
ENSDART00000145147|ENSDARG00000030490,1,23,21,26,0,0,0,26,5
ENSDART00000145668|ENSDARG00000086256,1,23,19,24,0,0,0,24,5
ENSDART00000146246|ENSDARG00000077673,1,23,18,23,0,0,0,23,5
ENSDART00000147519|ENSDARG00000022378,1,22,19,23,0,1,1,24,5
ENSDART00000147731|ENSDARG00000079986,1,23,18,23,0,0,0,23,5
ENSDART00000147941|ENSDARG00000053215,1,22,18,22,0,1,1,23,5
ENSDART00000148062|ENSDARG00000021864,1,22,19,22,0,1,1,23,4
ENSDART00000148197|ENSDARG00000062415,1,23,18,23,0,0,0,23,5
ENSDART00000148431|ENSDARG00000075525,1,23,19,23,0,0,0,23,4
ENSDART00000149412|ENSDARG00000009280,1,23,18,23,0,0,0,23,5
ENSDART00000152006|ENSDARG00000086418,1,23,19,24,0,0,0,24,5
ENSDART00000153142|ENSDARG00000034957,2,23,19,23,1,0,1,24,5
ENSDART00000153299|ENSDARG00000096703,1,23,19,24,0,0,0,24,5
ENSDART00000153925|ENSDARG00000016460,1,23,18,23,0,0,0,23,5
ENSDART00000154379|ENSDARG00000091847,1,23,18,23,0,0,0,23,5
ENSDART00000154716|ENSDARG00000071009,1,23,20,25,0,0,0,25,5
ENSDART00000158525|ENSDARG00000018105,1,22,18,22,0,1,1,23,5
ENSDART00000159902|ENSDARG00000103155,1,23,19,24,0,0,0,24,5
ENSDART00000160002|ENSDARG00000098288,1,22,18,22,0,1,1,23,5
ENSDART00000162459|ENSDARG00000098312,1,23,18,23,0,0,0,23,5
ENSDART00000164060|ENSDARG00000098288,1,22,18,22,0,1,1,23,5
ENSDART00000166238|ENSDARG00000101406,1,23,20,23,0,0,0,23,3
ENSDART00000166447|ENSDARG00000099419,1,22,18,22,0,1,1,23,5
ENSDART00000167140|ENSDARG00000103181,1,23,18,23,0,0,0,23,5
ENSDART00000169758|ENSDARG00000104315,1,23,18,23,0,0,0,23,5
ENSDART00000171254|ENSDARG00000018105,1,22,18,22,0,1,1,23,5
ENSDART00000171269|ENSDARG00000103181,1,23,18,23,0,0,0,23,5
ENSDART00000171664|ENSDARG00000098288,1,22,18,22,0,1,1,23,5
ENSDART00000173108|ENSDARG00000032199,1,23,20,25,0,0,0,25,5
ENSDART00000173115|ENSDARG00000011201,1,23,19,23,0,0,0,23,4
ENSDART00000173652|ENSDARG00000074319,1,23,19,23,0,0,0,23,4
ENSDART00000175149|ENSDARG00000053215,1,22,18,22,0,1,1,23,5
ENSDART00000178290|ENSDARG00000018476,1,23,18,23,0,0,0,23,5
ENSDART00000179403|ENSDARG00000062415,1,23,18,23,0,0,0,23,5
ENSDART00000181003|ENSDARG00000074017,1,23,18,23,0,0,0,23,5
ENSDART00000181556|ENSDARG00000114977,2,23,18,22,1,0,1,23,5
ENSDART00000184601|ENSDARG00000093024,1,23,19,24,0,0,0,24,5
ENSDART00000184610|ENSDARG00000098263,1,23,19,23,0,0,0,23,4
ENSDART00000184914|ENSDARG00000098312,1,23,18,23,0,0,0,23,5
ENSDART00000186536|ENSDARG00000104424,1,23,18,23,0,0,0,23,5
ENSDART00000188149|ENSDARG00000060723,1,23,20,25,0,0,0,25,5
ENSDART00000188319|ENSDARG00000115175,2,23,18,22,1,0,1,23,5
ENSDART00000189849|ENSDARG00000023920,1,23,19,24,0,0,0,24,5
