Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000009545|ENSDARG00000018110,2,23,18,22,1,0,1,23,5
ENSDART00000017941|ENSDARG00000016630,1,23,18,23,0,0,0,23,5
ENSDART00000020425|ENSDARG00000005368,1,23,19,23,0,0,0,23,4
ENSDART00000024193|ENSDARG00000012040,2,23,18,22,1,0,1,23,5
ENSDART00000032393|ENSDARG00000021975,1,23,18,23,0,0,0,23,5
ENSDART00000050535|ENSDARG00000089033,1,23,18,23,0,0,0,23,5
ENSDART00000054982|ENSDARG00000075058,2,23,18,22,1,0,1,23,5
ENSDART00000055338|ENSDARG00000037966,1,23,19,24,0,0,0,24,5
ENSDART00000058958|ENSDARG00000029931,1,23,20,25,0,0,0,25,5
ENSDART00000062552|ENSDARG00000042642,1,23,19,24,0,0,0,24,5
ENSDART00000075515|ENSDARG00000027734,2,23,19,23,1,0,1,24,5
ENSDART00000078630|ENSDARG00000056193,1,23,18,23,0,0,0,23,5
ENSDART00000079202|ENSDARG00000056672,1,23,18,23,0,0,0,23,5
ENSDART00000081546|ENSDARG00000058649,1,23,19,24,0,0,0,24,5
ENSDART00000082697|ENSDARG00000075058,2,23,18,22,1,0,1,23,5
ENSDART00000087494|ENSDARG00000061385,1,23,18,23,0,0,0,23,5
ENSDART00000090081|ENSDARG00000062352,1,23,19,23,0,0,0,23,4
ENSDART00000098004|ENSDARG00000034503,1,23,19,24,0,0,0,24,5
ENSDART00000099761|ENSDARG00000068874,1,23,18,23,0,0,0,23,5
ENSDART00000102522|ENSDARG00000037309,1,23,20,25,0,0,0,25,5
ENSDART00000102725|ENSDARG00000075592,1,23,18,23,0,0,0,23,5
ENSDART00000110140|ENSDARG00000068192,1,23,18,23,0,0,0,23,5
ENSDART00000110629|ENSDARG00000078261,3,23,18,21,2,0,2,23,5
ENSDART00000125463|ENSDARG00000061385,1,23,18,23,0,0,0,23,5
ENSDART00000125909|ENSDARG00000068745,1,23,18,23,0,0,0,23,5
ENSDART00000127329|ENSDARG00000043247,1,23,18,23,0,0,0,23,5
ENSDART00000128624|ENSDARG00000087176,1,23,18,23,0,0,0,23,5
ENSDART00000128978|ENSDARG00000091817,3,23,18,21,2,0,2,23,5
ENSDART00000130673|ENSDARG00000017953,2,23,18,22,1,0,1,23,5
ENSDART00000131300|ENSDARG00000000935,1,22,19,23,0,1,1,24,5
ENSDART00000132127|ENSDARG00000027734,2,23,19,23,1,0,1,24,5
ENSDART00000132315|ENSDARG00000068398,1,21,20,23,0,2,2,25,5
ENSDART00000132582|ENSDARG00000068745,1,23,18,23,0,0,0,23,5
ENSDART00000137010|ENSDARG00000079312,1,23,19,24,0,0,0,24,5
ENSDART00000137254|ENSDARG00000000935,1,22,19,23,0,1,1,24,5
ENSDART00000137308|ENSDARG00000075821,1,21,19,22,0,2,2,24,5
ENSDART00000138992|ENSDARG00000069710,1,23,18,23,0,0,0,23,5
ENSDART00000140732|ENSDARG00000062352,1,23,19,23,0,0,0,23,4
ENSDART00000142034|ENSDARG00000093473,1,23,18,23,0,0,0,23,5
ENSDART00000142460|ENSDARG00000078261,3,23,18,21,2,0,2,23,5
ENSDART00000146102|ENSDARG00000057037,1,22,18,22,0,1,1,23,5
ENSDART00000147713|ENSDARG00000001825,1,23,21,26,0,0,0,26,5
ENSDART00000147740|ENSDARG00000042872,1,23,20,25,0,0,0,25,5
ENSDART00000148788|ENSDARG00000034503,1,23,19,24,0,0,0,24,5
ENSDART00000149367|ENSDARG00000076310,1,23,19,23,0,0,0,23,4
ENSDART00000151165|ENSDARG00000058649,1,23,19,24,0,0,0,24,5
ENSDART00000155227|ENSDARG00000090013,1,23,20,25,0,0,0,25,5
ENSDART00000159861|ENSDARG00000098739,1,23,23,23,0,0,0,23,0
ENSDART00000161756|ENSDARG00000099993,1,23,19,24,0,0,0,24,5
ENSDART00000162502|ENSDARG00000089033,1,23,18,23,0,0,0,23,5
ENSDART00000162920|ENSDARG00000101947,3,23,18,21,2,0,2,23,5
ENSDART00000164663|ENSDARG00000099079,1,23,18,23,0,0,0,23,5
ENSDART00000166274|ENSDARG00000099129,1,23,20,25,0,0,0,25,5
ENSDART00000166663|ENSDARG00000075821,1,21,19,22,0,2,2,24,5
ENSDART00000168540|ENSDARG00000101947,3,23,18,21,2,0,2,23,5
ENSDART00000168856|ENSDARG00000089033,1,23,18,23,0,0,0,23,5
ENSDART00000170479|ENSDARG00000099793,1,23,19,24,0,0,0,24,5
ENSDART00000171482|ENSDARG00000101947,3,23,18,21,2,0,2,23,5
ENSDART00000171859|ENSDARG00000100606,1,23,18,23,0,0,0,23,5
ENSDART00000171993|ENSDARG00000100133,2,23,21,25,1,0,1,26,5
ENSDART00000175671|ENSDARG00000078261,3,23,18,21,2,0,2,23,5
ENSDART00000181955|ENSDARG00000068745,1,23,18,23,0,0,0,23,5
ENSDART00000185809|ENSDARG00000112002,1,23,18,23,0,0,0,23,5
ENSDART00000188690|ENSDARG00000061385,1,23,18,23,0,0,0,23,5
ENSDART00000189422|ENSDARG00000044628,1,23,18,23,0,0,0,23,5
ENSDART00000191170|ENSDARG00000079312,1,23,19,24,0,0,0,24,5
ENSDART00000191706|ENSDARG00000068745,1,23,18,23,0,0,0,23,5
