Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000004848|ENSDARG00000005218,1,23,18,23,0,0,0,23,5
ENSDART00000005345|ENSDARG00000011521,2,23,21,24,1,0,1,25,4
ENSDART00000009477|ENSDARG00000008243,1,23,23,23,0,0,0,23,0
ENSDART00000022976|ENSDARG00000020102,1,23,18,23,0,0,0,23,5
ENSDART00000037119|ENSDARG00000026149,1,23,19,24,0,0,0,24,5
ENSDART00000038777|ENSDARG00000026084,1,23,18,23,0,0,0,23,5
ENSDART00000040035|ENSDARG00000030975,1,23,18,23,0,0,0,23,5
ENSDART00000062080|ENSDARG00000042337,1,23,18,23,0,0,0,23,5
ENSDART00000062130|ENSDARG00000042370,1,23,19,23,0,0,0,23,4
ENSDART00000075517|ENSDARG00000053479,2,22,18,21,1,1,2,23,5
ENSDART00000078141|ENSDARG00000055739,1,23,18,23,0,0,0,23,5
ENSDART00000079689|ENSDARG00000030012,1,23,18,23,0,0,0,23,5
ENSDART00000083790|ENSDARG00000059897,1,22,18,22,0,1,1,23,5
ENSDART00000087107|ENSDARG00000006200,2,23,18,22,1,0,1,23,5
ENSDART00000087114|ENSDARG00000021938,2,23,18,22,1,0,1,23,5
ENSDART00000087120|ENSDARG00000006200,2,23,18,22,1,0,1,23,5
ENSDART00000089589|ENSDARG00000062442,1,23,19,24,0,0,0,24,5
ENSDART00000091298|ENSDARG00000075673,1,22,18,22,0,1,1,23,5
ENSDART00000091549|ENSDARG00000062949,1,23,19,23,0,0,0,23,4
ENSDART00000092741|ENSDARG00000063445,1,23,18,23,0,0,0,23,5
ENSDART00000104110|ENSDARG00000070717,1,23,18,23,0,0,0,23,5
ENSDART00000105518|ENSDARG00000071395,1,23,19,24,0,0,0,24,5
ENSDART00000109063|ENSDARG00000079333,1,23,18,23,0,0,0,23,5
ENSDART00000109243|ENSDARG00000076104,2,23,20,24,1,0,1,25,5
ENSDART00000110243|ENSDARG00000070220,1,23,18,23,0,0,0,23,5
ENSDART00000112149|ENSDARG00000076332,1,23,18,23,0,0,0,23,5
ENSDART00000115050|ENSDARG00000076566,1,23,18,23,0,0,0,23,5
ENSDART00000125416|ENSDARG00000018765,1,23,18,23,0,0,0,23,5
ENSDART00000131279|ENSDARG00000061235,2,23,18,22,1,0,1,23,5
ENSDART00000131732|ENSDARG00000059897,1,22,18,22,0,1,1,23,5
ENSDART00000133989|ENSDARG00000011521,2,23,21,24,1,0,1,25,4
ENSDART00000134083|ENSDARG00000075673,1,22,18,22,0,1,1,23,5
ENSDART00000137298|ENSDARG00000035559,1,23,19,23,0,0,0,23,4
ENSDART00000140327|ENSDARG00000061235,2,23,18,22,1,0,1,23,5
ENSDART00000140482|ENSDARG00000079723,3,23,18,21,2,0,2,23,5
ENSDART00000141236|ENSDARG00000105820,1,23,18,23,0,0,0,23,5
