Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000003497|ENSDARG00000016263,1,23,23,23,0,0,0,23,0
ENSDART00000007079|ENSDARG00000018190,1,23,19,24,0,0,0,24,5
ENSDART00000011224|ENSDARG00000002507,1,22,18,22,0,1,1,23,5
ENSDART00000012132|ENSDARG00000004318,1,22,18,22,0,1,1,23,5
ENSDART00000020153|ENSDARG00000020123,1,23,18,23,0,0,0,23,5
ENSDART00000039165|ENSDARG00000057699,1,23,18,23,0,0,0,23,5
ENSDART00000044574|ENSDARG00000041609,2,23,19,23,1,0,1,24,5
ENSDART00000049099|ENSDARG00000025043,2,23,18,22,1,0,1,23,5
ENSDART00000049170|ENSDARG00000032405,1,23,18,23,0,0,0,23,5
ENSDART00000061134|ENSDARG00000011909,1,22,20,24,0,1,1,25,5
ENSDART00000062459|ENSDARG00000042590,1,23,19,24,0,0,0,24,5
ENSDART00000075524|ENSDARG00000053487,1,22,18,22,0,1,1,23,5
ENSDART00000078156|ENSDARG00000055760,1,23,19,24,0,0,0,24,5
ENSDART00000089679|ENSDARG00000062216,1,23,18,23,0,0,0,23,5
ENSDART00000098038|ENSDARG00000028118,1,23,19,24,0,0,0,24,5
ENSDART00000100685|ENSDARG00000055132,1,22,18,22,0,1,1,23,5
ENSDART00000101000|ENSDARG00000069409,1,23,19,24,0,0,0,24,5
ENSDART00000102827|ENSDARG00000071212,1,23,18,23,0,0,0,23,5
ENSDART00000112659|ENSDARG00000075339,1,23,20,25,0,0,0,25,5
ENSDART00000112840|ENSDARG00000004132,1,23,18,23,0,0,0,23,5
ENSDART00000113795|ENSDARG00000077982,1,23,18,23,0,0,0,23,5
ENSDART00000114999|ENSDARG00000077489,1,22,18,22,0,1,1,23,5
ENSDART00000121552|ENSDARG00000090982,1,23,18,23,0,0,0,23,5
ENSDART00000122238|ENSDARG00000039077,1,23,19,24,0,0,0,24,5
ENSDART00000122374|ENSDARG00000043031,1,23,19,24,0,0,0,24,5
ENSDART00000123467|ENSDARG00000090886,1,23,21,25,0,0,0,25,4
ENSDART00000128636|ENSDARG00000062216,1,23,18,23,0,0,0,23,5
ENSDART00000129768|ENSDARG00000041609,2,23,19,23,1,0,1,24,5
ENSDART00000129961|ENSDARG00000089616,1,23,19,24,0,0,0,24,5
ENSDART00000132025|ENSDARG00000004132,1,23,18,23,0,0,0,23,5
ENSDART00000132464|ENSDARG00000045481,1,23,18,23,0,0,0,23,5
ENSDART00000135912|ENSDARG00000020123,1,23,18,23,0,0,0,23,5
ENSDART00000137377|ENSDARG00000077845,1,23,19,23,0,0,0,23,4
ENSDART00000139859|ENSDARG00000002507,1,22,18,22,0,1,1,23,5
ENSDART00000147368|ENSDARG00000053487,1,22,18,22,0,1,1,23,5
ENSDART00000147702|ENSDARG00000016263,1,23,23,23,0,0,0,23,0
ENSDART00000147778|ENSDARG00000004132,1,23,18,23,0,0,0,23,5
ENSDART00000148350|ENSDARG00000028118,1,23,19,24,0,0,0,24,5
ENSDART00000149297|ENSDARG00000060796,1,23,18,23,0,0,0,23,5
ENSDART00000149460|ENSDARG00000077982,1,23,18,23,0,0,0,23,5
ENSDART00000149764|ENSDARG00000016263,1,23,23,23,0,0,0,23,0
ENSDART00000150575|ENSDARG00000089616,1,23,19,24,0,0,0,24,5
ENSDART00000152518|ENSDARG00000077489,1,22,18,22,0,1,1,23,5
ENSDART00000152669|ENSDARG00000096651,1,22,19,23,0,1,1,24,5
ENSDART00000154505|ENSDARG00000011909,1,22,20,24,0,1,1,25,5
ENSDART00000155592|ENSDARG00000027041,1,22,18,22,0,1,1,23,5
ENSDART00000155969|ENSDARG00000059701,1,22,18,22,0,1,1,23,5
ENSDART00000157494|ENSDARG00000043031,1,23,19,24,0,0,0,24,5
ENSDART00000158758|ENSDARG00000001558,1,23,19,24,0,0,0,24,5
ENSDART00000158837|ENSDARG00000014717,1,23,19,24,0,0,0,24,5
ENSDART00000159032|ENSDARG00000100108,1,23,19,24,0,0,0,24,5
ENSDART00000159216|ENSDARG00000103025,1,23,18,23,0,0,0,23,5
ENSDART00000160482|ENSDARG00000001558,1,23,19,24,0,0,0,24,5
ENSDART00000161100|ENSDARG00000087709,1,20,18,20,0,3,3,23,5
ENSDART00000163660|ENSDARG00000100011,1,23,18,23,0,0,0,23,5
ENSDART00000163680|ENSDARG00000103025,1,23,18,23,0,0,0,23,5
ENSDART00000165143|ENSDARG00000102021,1,22,18,22,0,1,1,23,5
ENSDART00000165749|ENSDARG00000099864,1,23,19,24,0,0,0,24,5
ENSDART00000166516|ENSDARG00000043031,1,23,19,24,0,0,0,24,5
ENSDART00000167487|ENSDARG00000060796,1,23,18,23,0,0,0,23,5
ENSDART00000167613|ENSDARG00000103025,1,23,18,23,0,0,0,23,5
ENSDART00000168250|ENSDARG00000100108,1,23,19,24,0,0,0,24,5
ENSDART00000169923|ENSDARG00000104225,1,23,18,23,0,0,0,23,5
ENSDART00000170203|ENSDARG00000043031,1,23,19,24,0,0,0,24,5
ENSDART00000172068|ENSDARG00000098129,1,22,18,22,0,1,1,23,5
